brand_id,brand_name,category_id,supplier_id,is_active
BR001,Apple,CAT001,SUP001,True
BR002,Samsung,CAT001,SUP002,True
BR003,Sony,CAT001,SUP003,True
BR004,Dell,CAT001,SUP003,True
BR005,Nike,CAT002,SUP004,True
BR006,Adidas,CAT002,SUP005,True
BR007,Puma,CAT002,SUP005,True
BR008,IKEA,CAT003,SUP006,True
BR009,Home Centre,CAT003,SUP006,True
BR010,Penguin,CAT004,SUP007,True
BR011,HarperCollins,CAT004,SUP007,True
BR012,Wilson,CAT005,SUP008,True
BR013,Yonex,CAT005,SUP008,True
BR014,L'Oréal,CAT006,SUP008,True
BR015,Nivea,CAT006,SUP008,True
BR016,Nestlé,CAT007,SUP007,True
BR017,Kellogg's,CAT007,SUP007,True
BR018,LEGO,CAT008,SUP006,True
BR019,Mattel,CAT008,SUP006,True
